x,phylo_names,body_region,ecology,mean_roughness,mean_peak,sd_roughness,sd_peak
56,Anodonthyla_moramora,VP,terrestrial_leaflitter,2.386965989,11.65755717,0.313533927,3.628947107
57,Ansonia_longidigita,DA,terrestrial_torrent,9.697092265,32.83390233,5.425147627,7.978225275
58,Ansonia_longidigita,DP,terrestrial_torrent,5.322387635,21.89572267,1.870764142,7.917012546
59,Ansonia_longidigita,VA,terrestrial_torrent,8.768815636,41.32055117,1.993758246,12.46881522
60,Ansonia_longidigita,VP,terrestrial_torrent,8.643712519,32.71325567,3.59665765,14.04992166
61,Ansonia_mcgregori,DA,terrestrial_torrent,6.435070476,33.28898911,1.682786968,7.574835085
62,Ansonia_mcgregori,DP,terrestrial_torrent,5.723825269,31.026801,1.585455845,4.926023183
63,Ansonia_mcgregori,VA,terrestrial_torrent,4.106790035,15.01254756,1.860935636,5.12759172
64,Ansonia_mcgregori,VP,terrestrial_torrent,5.22888694,20.38223733,1.208515933,7.412941495
65,Argenteohyla_siemersi,DA,arboreal,2.330901549,10.776547,1.32931399,3.008839915
66,Argenteohyla_siemersi,DP,arboreal,2.01440775,10.29254383,0.822364105,3.414707866
67,Argenteohyla_siemersi,VA,arboreal,5.521545603,20.78204517,2.593969885,8.106145937
68,Argenteohyla_siemersi,VP,arboreal,5.797349848,31.6339925,1.587754265,10.72723364
69,Aromobates_nocturnus,DA,aquatic,1.782679063,9.868489332,0.483425297,2.359715861
70,Aromobates_nocturnus,DP,aquatic,2.334568446,9.465304665,1.054834111,5.026713505
71,Aromobates_nocturnus,VA,aquatic,0.89005003,5.84258315,0.316684017,2.360745121
72,Aromobates_nocturnus,VP,aquatic,1.420091082,6.2576655,0.456966732,1.035877632
73,Ascaphus_truei,DA,aquatic,3.507267742,20.54271208,1.063170866,6.961260926
74,Ascaphus_truei,DP,aquatic,4.255544862,20.99129266,1.020385222,5.776578515
75,Ascaphus_truei,VA,aquatic,1.272750913,10.21319662,0.530169399,2.712544941
76,Ascaphus_truei,VP,aquatic,1.735143098,9.537646034,0.472035384,2.383093449
